,codigo,fec_nac,sexo,edo_civ,depto,fec_ing,fec_baj,jorn,puesto,cp,label,antig
774,5646,1963-11-06,MASCULINO,SOLTERO,51,2013-11-04,,1,0001,07969,1,2194
775,7750,1999-11-27,MASCULINO,SOLTERO,50,2018-09-03,,1,0001,07170,1,430
776,7708,1984-05-01,FEMENINO,SOLTERO,60,2018-07-04,,1,0001,55065,1,491
778,7833,1975-10-25,FEMENINO,SOLTERO,80,2018-12-11,,1,0001,02070,1,331
779,6978,1968-09-03,FEMENINO,SOLTERO,76,2016-06-07,,1,0001,56647,1,1248
787,5679,1972-06-04,FEMENINO,SOLTERO,85,2013-12-20,,1,0180,50295,1,2148
791,7530,1984-01-10,FEMENINO,SOLTERO,05,2017-10-18,,1,0001,57710,1,750
795,6028,1965-05-08,MASCULINO,SOLTERO,11,2014-12-02,,1,0176,02530,1,1801
797,6565,1986-03-14,MASCULINO,SOLTERO,52,2015-09-15,,1,0001,13300,1,1514
798,7731,1977-06-26,FEMENINO,SOLTERO,37,2018-07-30,,1,0001,53378,1,465
802,7753,1973-01-10,FEMENINO,SOLTERO,83,2018-09-04,,1,0003A,54140,1,429
803,3676,1961-07-17,FEMENINO,DIVORCIADO,80,2009-10-13,,1,0181,52928,1,3677
807,7822,1982-06-01,FEMENINO,SOLTERO,51,2018-12-07,,1,0001,54140,1,335
808,3221,1965-10-12,MASCULINO,CASADO,11,2018-06-18,,1,0177,09310,1,507
809,7741,1970-04-27,FEMENINO,CASADO,25,2018-08-20,,1,0001,56334,1,444
810,7779,1969-01-16,FEMENINO,CASADO,52,2018-10-05,,1,0014,09290,1,398
811,7269,1969-01-19,FEMENINO,SOLTERO,76,2017-02-16,,1,0001,56577,1,994
816,2522,1952-05-19,FEMENINO,SOLTERO,05,2013-03-21,,1,0001,56335,1,2422
822,0236,1961-08-24,FEMENINO,SOLTERO,45,1999-05-14,,1,423,57000,1,7482
823,7080,1970-08-02,FEMENINO,SOLTERO,85,2016-09-05,,1,0018,50285,1,1158
824,5965,1967-03-13,FEMENINO,SOLTERO,72,2015-06-25,,1,0178,56560,1,1596
827,5447,1965-06-19,FEMENINO,SOLTERO,04,2013-05-20,,1,0003A,55280,1,2362
830,7723,1994-10-04,FEMENINO,CASADO,50,2018-07-18,,1,0001,02240,1,477
831,6685,1965-06-15,FEMENINO,SOLTERO,73,2015-11-17,,1,0001,56530,1,1451
833,5549,1963-07-17,FEMENINO,SOLTERO,45,2013-08-12,,1,0001,15530,1,2278
842,0854,1964-11-16,FEMENINO,SOLTERO,05,2012-02-03,,1,0020,09700,1,2834
844,7295,1974-06-21,FEMENINO,CASADO,57,2017-02-27,,1,0001,55507,1,983
846,6832,1975-02-07,FEMENINO,SOLTERO,05,2016-03-01,,1,0001,08000,1,1346
850,4807,1956-09-21,FEMENINO,CASADO,06,2012-03-01,,1,0028,54744,1,2807
852,6821,1974-12-11,FEMENINO,SOLTERO,25,2016-02-19,,1,0178,56535,1,1357
859,3169,1956-06-30,FEMENINO,SOLTERO,76,2008-08-29,,1,0001,56563,1,4087
865,4514,1961-09-02,FEMENINO,CASADO,54,2011-09-12,,1,0181,55717,1,2978
866,7814,1977-12-11,FEMENINO,SOLTERO,04,2018-11-26,,1,0003A,52949,1,346
867,7104,1973-09-11,FEMENINO,SOLTERO,04,2018-05-03,,1,0003A,54948,1,553
868,7754,1966-06-09,FEMENINO,SOLTERO,61,2018-09-05,,1,0001,52918,1,428
869,7717,1968-02-03,FEMENINO,SOLTERO,52,2018-07-13,,1,0018,09830,1,482
870,6014,1968-07-28,FEMENINO,SOLTERO,75,2014-11-18,,1,0178,09300,1,1815
871,7775,1989-02-03,FEMENINO,SOLTERO,37,2018-10-01,,1,0001,07580,1,402
874,7783,1984-05-16,FEMENINO,CASADO,56,2018-10-10,,1,0015,01100,1,393
875,7551,1976-07-06,FEMENINO,CASADO,79,2018-01-08,,1,0001,53428,1,668
877,7715,1990-07-02,FEMENINO,SOLTERO,52,2018-07-13,,1,0001,09630,1,482
881,3827,1980-08-17,MASCULINO,SOLTERO,05,2010-04-06,,1,0002,08400,1,3502
884,5412,1975-08-15,FEMENINO,SOLTERO,03,2014-12-08,,1,0001,01800,1,1795
886,4504,1982-01-08,FEMENINO,CASADO,06,2017-07-20,,1,0032,56615,1,840
887,7395,1994-08-09,FEMENINO,SOLTERO,85,2017-06-12,,1,0003B,50039,1,878
888,0214,1974-07-21,FEMENINO,SOLTERO,06,2017-01-02,,1,0024,57750,1,1039
892,6321,1973-11-19,FEMENINO,SOLTERO,76,2015-05-21,,1,0002,56589,1,1631
893,5232,1964-02-24,FEMENINO,SOLTERO,83,2016-01-12,,1,110,07100,1,1395
894,4958,1965-06-12,FEMENINO,SOLTERO,57,2012-05-24,,1,0001,55520,1,2723
897,3979,1976-05-14,MASCULINO,CASADO,06,2010-07-26,,1,0027,09760,1,3391
900,0442,1967-06-21,MASCULINO,SOLTERO,05,1999-01-14,,1,0174,54170,1,7602
901,7699,1989-04-17,FEMENINO,SOLTERO,50,2018-06-21,,1,0001,02600,1,504
904,7330,1969-09-29,MASCULINO,SOLTERO,05,2017-03-28,,1,0015,56383,1,954
906,7719,1991-10-08,MASCULINO,SOLTERO,57,2018-07-18,,1,0001,55507,1,477
915,7421,1990-01-17,FEMENINO,SOLTERO,73,2017-07-04,,1,0001,56570,1,856
920,7776,1993-06-19,FEMENINO,SOLTERO,81,2018-10-02,,1,0001,07950,1,401
921,7823,1981-03-06,FEMENINO,CASADO,59,2018-12-05,,1,0001,56208,1,337
924,7298,1988-06-14,FEMENINO,SOLTERO,74,2017-03-06,,1,0184,13310,1,976
926,7758,1969-11-26,FEMENINO,SOLTERO,52,2018-09-07,,1,0001,09690,1,426
927,5396,1971-06-05,FEMENINO,SOLTERO,05,2014-07-03,,1,0001,56516,1,1953
929,5704,1965-09-20,FEMENINO,SOLTERO,66,2015-06-03,,1,0182,50160,1,1618
930,7503,1989-06-08,MASCULINO,SOLTERO,85,2017-09-19,,1,0003B,50020,1,779
940,7588,1991-08-09,FEMENINO,SOLTERO,79,2018-01-24,,1,0001,53426,1,652
941,7821,1983-06-03,FEMENINO,SOLTERO,61,2018-12-05,,1,0003A,54475,1,337
942,5588,1968-12-22,FEMENINO,SOLTERO,60,2013-09-21,,1,0001,55065,1,2238
944,6203,1967-01-24,FEMENINO,SOLTERO,85,2015-12-14,,1,0003B,50010,1,1424
945,6582,1974-03-13,FEMENINO,SOLTERO,37,2016-10-28,,1,0001,56363,1,1105
948,7392,1978-08-25,FEMENINO,SOLTERO,52,2018-09-04,,1,0001,09790,1,429
949,7226,1965-03-15,FEMENINO,SOLTERO,54,2017-01-13,,1,0003A,54960,1,1028
950,7664,1971-03-13,FEMENINO,SOLTERO,51,2018-05-09,,1,0001,02870,1,547
952,7766,1967-09-29,MASCULINO,SOLTERO,08,2018-09-24,,1,0001,08020,1,409
954,3326,1968-10-24,FEMENINO,CASADO,57,2017-06-21,,1,0019,07420,1,869
958,0449,1970-05-31,MASCULINO,SOLTERO,05,1989-12-13,,1,0003,06820,1,10921
961,6934,1960-11-21,FEMENINO,SOLTERO,06,2016-05-02,,1,470,07500,1,1284
962,7770,1987-01-05,FEMENINO,SOLTERO,52,2018-09-26,,1,0001,09830,1,407
963,7137,1976-02-12,MASCULINO,SOLTERO,81,2016-10-19,,1,469,54193,1,1114
965,6682,1996-12-07,MASCULINO,SOLTERO,06,2017-02-13,,1,0001,15730,1,997
968,1269,1967-10-13,MASCULINO,SOLTERO,03,2000-05-18,,1,0001,09100,1,7112
970,6006,1969-08-30,FEMENINO,SOLTERO,81,2018-12-03,,1,0001,55200,1,339
972,1419,1980-10-31,FEMENINO,SOLTERO,51,2015-07-28,,1,0020,02600,1,1563
976,7545,1991-12-05,FEMENINO,SOLTERO,85,2017-11-10,,1,0018,50280,1,727
987,3525,1965-05-04,FEMENINO,SOLTERO,68,2017-08-14,,1,0014,08770,1,815
989,7813,1969-10-11,FEMENINO,CASADO,81,2018-11-26,,1,0001,54090,1,346
991,6885,1969-03-05,FEMENINO,SOLTERO,52,2016-04-01,,1,0001,09760,1,1315
995,4775,1966-02-08,FEMENINO,SOLTERO,74,2012-02-21,,1,0001,08730,1,2816
996,7528,1985-08-03,FEMENINO,SOLTERO,85,2017-10-13,,1,0003B,50010,1,755
1001,4832,1975-12-04,FEMENINO,SOLTERO,59,2014-10-06,,1,0001,56270,1,1858
1002,7836,1999-05-22,FEMENINO,SOLTERO,56,2018-12-19,,1,0001,01290,1,323
1005,7824,1980-02-01,FEMENINO,SOLTERO,59,2018-12-05,,1,0001,56266,1,337
1009,3321,1965-02-12,MASCULINO,CASADO,83,2010-09-07,,1,0103,54942,1,3348
1013,2112,1966-08-13,FEMENINO,SOLTERO,72,2006-10-17,,1,0001,56360,1,4769
1014,0624,1966-09-09,FEMENINO,SOLTERO,83,1996-01-25,,1,0035,11430,1,8687
1015,6877,1962-01-16,FEMENINO,SOLTERO,81,2016-03-30,,1,0014,07939,1,1317
1017,4385,1973-01-31,FEMENINO,SOLTERO,04,2011-06-02,,1,0016,53716,1,3080
1018,7378,1991-07-29,FEMENINO,SOLTERO,52,2018-12-12,,1,0001,09770,1,330
1019,0366,1969-03-21,FEMENINO,CASADO,06,2011-10-17,,1,0025,10580,1,2943
1020,7755,1995-04-13,FEMENINO,SOLTERO,87,2018-12-17,,1,0001,50295,1,325
1021,6206,1972-02-09,FEMENINO,SOLTERO,73,2015-03-18,,1,0178,56600,1,1695
1023,4366,1958-03-11,FEMENINO,SOLTERO,82,2018-11-14,,1,0003A,54020,1,358
1024,7618,1992-12-25,FEMENINO,SOLTERO,05,2018-03-06,,1,0001,56334,1,611
1,7840,1985-12-30,FEMENINO,SOLTERO,87,2018-12-27,2019-02-04,1,0185,50290,0,39
2,7879,1993-12-28,MASCULINO,SOLTERO,72,2019-02-11,2019-07-22,1,0001,09630,0,161
3,7505,1989-09-30,MASCULINO,SOLTERO,82,2017-09-19,2019-02-21,1,0003A,54948,0,520
6,7331,1977-04-02,FEMENINO,CASADO,45,2018-09-04,2019-08-08,1,0001,08100,0,338
9,7774,1995-12-07,FEMENINO,CASADO,87,2018-09-27,2019-01-14,1,0001,50200,0,109
13,7851,1980-02-02,FEMENINO,SOLTERO,51,2019-01-11,2019-03-08,1,0001,07220,0,56
14,7867,1981-07-10,MASCULINO,SOLTERO,87,2019-01-28,2019-01-30,1,0003B,50900,0,2
15,8050,1983-09-27,MASCULINO,SOLTERO,50,2019-07-08,2019-08-05,1,0017,07530,0,28
17,8051,1998-03-11,MASCULINO,SOLTERO,88,2019-07-10,2019-07-22,1,0001,53760,0,12
18,8094,1997-01-04,MASCULINO,SOLTERO,50,2019-08-16,2019-08-26,1,0017,55028,0,10
19,3652,1963-01-23,MASCULINO,CASADO,81,2016-09-12,2019-05-27,1,516,55390,0,987
21,4044,1967-10-28,FEMENINO,CASADO,50,2018-09-10,2019-03-11,1,0018,55139,0,182
22,7593,1988-10-07,FEMENINO,SOLTERO,45,2018-02-02,2019-04-02,1,0002A,07990,0,424
23,8000,1970-09-08,FEMENINO,CASADO,37,2019-05-28,2019-06-10,1,0001,02400,0,13
26,7959,1977-08-30,FEMENINO,SOLTERO,04,2019-04-16,2019-08-19,1,0001,54130,0,125
27,8013,1991-02-27,FEMENINO,SOLTERO,52,2019-06-10,2019-06-17,1,0001,09960,0,7
28,8016,1997-03-11,FEMENINO,SOLTERO,25,2019-06-12,2019-07-29,1,0001,56585,0,47
30,8085,1992-11-11,FEMENINO,SOLTERO,52,2019-08-12,2019-09-16,1,0001,13220,0,35
34,8040,1994-07-07,FEMENINO,SOLTERO,25,2019-07-02,2019-07-16,1,0001,57940,0,14
35,7903,1985-12-18,FEMENINO,SOLTERO,85,2019-03-04,2019-03-18,1,0001,50010,0,14
36,8021,1978-05-29,FEMENINO,CASADO,68,2019-06-17,2019-07-15,1,0001,08040,0,28
37,8027,1991-11-17,FEMENINO,SOLTERO,50,2019-06-24,2019-10-08,1,0001,02750,0,106
39,7931,1978-07-31,FEMENINO,SOLTERO,83,2019-03-26,2019-04-04,1,0001,52918,0,9
40,7865,1981-05-09,FEMENINO,CASADO,75,2019-01-24,2019-04-24,1,0001,04600,0,90
42,7986,1988-02-23,FEMENINO,SOLTERO,50,2019-05-14,2019-08-19,1,0001,02310,0,97
43,7998,1988-01-20,FEMENINO,SOLTERO,52,2019-05-28,2019-06-05,1,0001,09690,0,8
44,7916,1989-05-11,FEMENINO,SOLTERO,85,2019-03-11,2019-03-18,1,0001,50010,0,7
48,8074,1980-01-30,MASCULINO,SOLTERO,50,2019-07-31,2019-08-26,1,0017,06430,0,26
49,8022,1982-09-08,FEMENINO,SOLTERO,56,2019-06-18,2019-07-08,1,0001,01140,0,20
50,7866,1980-05-01,FEMENINO,SOLTERO,45,2019-01-25,2019-01-30,1,0001,08500,0,5
52,8073,1996-10-05,FEMENINO,CASADO,57,2019-08-01,2019-09-30,1,0001,55023,0,60
53,8142,1979-01-05,MASCULINO,CASADO,54,2019-10-01,2019-10-09,1,0001,54803,0,8
54,7312,1972-06-28,FEMENINO,CASADO,87,2017-03-09,2019-10-07,1,0003B,50010,0,942
55,7975,1964-08-31,MASCULINO,SOLTERO,83,2019-05-03,2019-07-08,1,0001,55796,0,66
58,8149,1972-07-27,FEMENINO,CASADO,73,2019-10-08,2019-10-15,1,0001,56585,0,7
59,7737,1963-05-04,FEMENINO,SOLTERO,87,2018-08-16,2019-04-18,1,0002A,50290,0,245
60,4008,1982-03-21,FEMENINO,SOLTERO,50,2019-01-14,2019-02-11,1,423,04369,0,28
63,6210,1967-07-18,MASCULINO,SOLTERO,07,2015-03-20,2019-05-06,1,0002A,09800,0,1508
64,6213,1970-02-28,MASCULINO,SOLTERO,83,2018-10-16,2019-04-01,1,0003A,54030,0,167
67,8096,1971-06-16,FEMENINO,SOLTERO,50,2019-08-21,2019-08-26,1,0001,02050,0,5
69,7997,1996-01-19,FEMENINO,SOLTERO,74,2019-05-28,2019-06-11,1,0001,08400,0,14
70,7812,1974-03-04,FEMENINO,CASADO,66,2019-03-21,2019-06-17,1,0001,50220,0,88
73,8114,1997-10-11,FEMENINO,SOLTERO,81,2019-09-06,2019-09-12,1,0001,02630,0,6
75,8070,1995-01-08,FEMENINO,SOLTERO,37,2019-07-30,2019-08-07,1,0001,02750,0,8
76,8097,1983-08-01,FEMENINO,SOLTERO,82,2019-08-22,2019-09-02,1,0001,54110,0,11
77,8065,1994-06-17,FEMENINO,SOLTERO,37,2019-07-25,2019-08-19,1,0001,07249,0,25
78,7430,1986-04-30,FEMENINO,CASADO,85,2017-07-04,2019-05-27,1,0030A,50260,0,692
81,7655,1977-10-22,MASCULINO,SOLTERO,74,2018-04-26,2019-10-01,1,0002A,08000,0,523
82,7919,1984-12-16,MASCULINO,SOLTERO,50,2019-03-14,2019-03-21,1,0125,01130,0,7
83,7858,1958-03-07,FEMENINO,VIUDO,50,2019-01-21,2019-02-04,1,0001,54170,0,14
84,8126,1995-11-09,FEMENINO,SOLTERO,05,2019-09-20,2019-09-30,1,0001,08040,0,10
85,7057,1973-04-30,FEMENINO,SOLTERO,50,2016-08-18,2019-05-10,1,0002A,54140,0,995
87,4746,1973-04-09,FEMENINO,SOLTERO,81,2017-05-23,2019-06-11,1,0017,42995,0,749
88,7934,2000-07-17,MASCULINO,SOLTERO,08,2019-03-28,2019-04-15,1,0001,09700,0,18
90,7407,1986-08-06,FEMENINO,SOLTERO,68,2017-06-20,2019-04-01,1,0002A,08500,0,650
91,7828,1987-03-30,FEMENINO,CASADO,87,2018-12-10,2019-04-04,1,0003B,50295,0,115
92,8093,1973-06-29,FEMENINO,SOLTERO,57,2019-08-16,2019-10-21,1,0001,15020,0,66
93,7964,1979-05-05,FEMENINO,SOLTERO,81,2019-04-22,2019-05-06,1,0001,54196,0,14
94,8010,1984-11-13,MASCULINO,SOLTERO,08,2019-06-07,2019-07-01,1,0001,57809,0,24
96,8075,1984-07-24,FEMENINO,SOLTERO,59,2019-08-01,2019-08-26,1,0001,56315,0,25
97,8045,1992-08-08,FEMENINO,SOLTERO,51,2019-07-04,2019-07-08,1,0001,06350,0,4
98,7839,1988-07-02,FEMENINO,SOLTERO,52,2018-12-22,2019-04-08,1,0175,57740,0,107
99,7922,1977-01-27,FEMENINO,CASADO,85,2019-03-19,2019-04-08,1,0001,52159,0,20
100,8064,2000-07-16,FEMENINO,SOLTERO,59,2019-07-19,2019-07-29,1,0001,56150,0,10
104,7912,1981-10-07,MASCULINO,SOLTERO,50,2019-03-08,2019-04-08,1,0017,54170,0,31
105,8061,1967-08-05,MASCULINO,SOLTERO,52,2019-07-18,2019-09-09,1,0001,09830,0,53
106,7933,1999-04-23,FEMENINO,SOLTERO,74,2019-03-27,2019-04-08,1,0001,56516,0,12
109,7742,1995-11-13,MASCULINO,SOLTERO,81,2018-08-21,2019-05-27,1,0002A,07920,0,279
110,8102,1993-03-15,MASCULINO,SOLTERO,05,2019-08-28,2019-09-30,1,0001,08730,0,33
111,5636,1992-05-03,FEMENINO,SOLTERO,74,2019-03-05,2019-03-18,1,0001,08510,0,13
112,7883,1986-12-03,FEMENINO,CASADO,87,2019-02-11,2019-06-24,1,0003B,50075,0,133
113,8140,1994-02-20,FEMENINO,SOLTERO,51,2019-09-30,2019-10-14,1,0001,54140,0,14
114,8006,2000-03-04,FEMENINO,SOLTERO,88,2019-06-05,2019-06-17,1,0001,53426,0,12
115,7968,1979-08-15,FEMENINO,CASADO,50,2019-04-25,2019-05-02,1,0001,02719,0,7
116,7894,1991-06-04,MASCULINO,SOLTERO,05,2019-02-21,2019-03-28,1,0001,10290,0,35
118,7853,1997-09-19,MASCULINO,SOLTERO,50,2019-01-14,2019-03-11,1,0001,54150,0,56
121,8017,1989-03-04,FEMENINO,SOLTERO,81,2019-06-12,2019-09-11,1,0001,02129,0,91
122,7694,1992-03-04,FEMENINO,SOLTERO,50,2018-06-17,2019-01-04,1,0001,07210,0,201
123,8121,1995-04-24,MASCULINO,SOLTERO,56,2019-09-10,2019-09-16,1,0001,01296,0,6
124,7752,1995-07-08,FEMENINO,SOLTERO,50,2018-09-05,2019-01-03,1,0001,54190,0,120
126,6657,1978-10-15,FEMENINO,SOLTERO,85,2018-11-02,2019-01-30,1,0003B,50290,0,89
128,7915,1965-05-17,FEMENINO,SOLTERO,66,2019-03-11,2019-06-17,1,0001,50010,0,98
130,7925,1983-10-11,MASCULINO,SOLTERO,79,2019-03-19,2019-07-23,1,0017,53580,0,126
134,8002,1984-09-06,FEMENINO,CASADO,45,2019-06-03,2019-06-07,1,0001,57000,0,4
135,7878,1973-06-21,FEMENINO,SOLTERO,56,2019-02-08,2019-05-25,1,0001,01100,0,106
136,8119,1980-08-14,FEMENINO,CASADO,57,2019-09-10,2019-09-23,1,0001,55883,0,13
138,7960,1999-08-02,FEMENINO,SOLTERO,50,2019-04-15,2019-06-10,1,0001,07580,0,56
141,7940,1997-04-22,FEMENINO,SOLTERO,04,2019-04-02,2019-04-04,1,0001,54110,0,2
142,7861,1969-09-20,FEMENINO,CASADO,85,2019-01-22,2019-01-30,1,0003B,50200,0,8
144,7901,1985-02-28,FEMENINO,CASADO,76,2019-03-04,2019-04-26,1,0001,56900,0,53
145,8090,1993-11-02,FEMENINO,SOLTERO,05,2019-08-15,2019-08-26,1,0001,56343,0,11
146,8120,1991-04-10,MASCULINO,SOLTERO,81,2019-09-10,2019-09-16,1,0001,02125,0,6
147,4233,1973-04-11,FEMENINO,CASADO,05,2019-01-03,2019-01-14,1,0001,09420,0,11
150,7786,1991-11-29,MASCULINO,SOLTERO,80,2019-05-02,2019-05-16,1,0001,02480,0,14
151,7971,1987-09-12,FEMENINO,CASADO,87,2019-04-25,2019-05-20,1,0001,50206,0,25
153,7980,1993-03-05,MASCULINO,SOLTERO,50,2019-05-07,2019-05-22,1,0017,07530,0,15
154,8115,1997-03-16,MASCULINO,SOLTERO,05,2019-09-02,2019-10-08,1,0001,54743,0,36
155,7946,1983-07-05,MASCULINO,SOLTERO,50,2019-04-05,2019-04-08,1,0001,07058,0,3
156,8058,1983-07-03,FEMENINO,SOLTERO,74,2019-07-16,2019-08-05,1,0001,08300,0,20
158,8032,1989-03-24,FEMENINO,SOLTERO,59,2019-06-26,2019-06-27,1,0001,56150,0,1
159,7935,1977-10-03,MASCULINO,CASADO,88,2019-03-26,2019-05-17,1,0001,11230,0,52
160,7988,1976-11-15,MASCULINO,CASADO,50,2019-05-15,2019-05-27,1,0001,07250,0,12
161,3160,1965-11-20,FEMENINO,SOLTERO,74,2018-09-27,2018-12-31,1,0001,04650,0,95
162,7843,1969-11-18,FEMENINO,CASADO,45,2019-01-07,2019-01-21,1,0001,56618,0,14
163,7972,1986-10-18,FEMENINO,CASADO,81,2019-04-30,2019-05-06,1,0001,07290,0,6
164,8087,1983-01-24,FEMENINO,SOLTERO,06,2019-08-14,2019-08-19,1,0001,08700,0,5
165,7904,1995-11-29,FEMENINO,CASADO,50,2019-03-04,2019-03-18,1,0001,07310,0,14
168,7945,1965-02-15,FEMENINO,CASADO,50,2019-04-04,2019-04-08,1,0001,15430,0,4
169,7881,1982-10-28,FEMENINO,CASADO,45,2019-02-11,2019-02-21,1,0001,09640,0,10
171,6504,1966-09-22,FEMENINO,SOLTERO,76,2015-08-18,2019-06-17,1,0001,56589,0,1399
173,7842,1968-11-05,MASCULINO,SOLTERO,05,2019-01-07,2019-01-30,1,0001,08400,0,23
174,7905,1987-05-20,MASCULINO,SOLTERO,85,2019-03-05,2019-05-16,1,0001,50290,0,72
175,7936,1980-05-03,MASCULINO,VIUDO,85,2019-03-28,2019-04-18,1,0001,50016,0,21
176,7801,1988-10-14,MASCULINO,SOLTERO,79,2018-11-08,2019-07-22,1,0001,53427,0,256
177,7604,1979-06-19,FEMENINO,CASADO,52,2018-02-22,2019-03-18,1,0002A,13270,0,389
178,7918,1996-05-13,FEMENINO,SOLTERO,85,2019-03-13,2019-05-20,1,0001,50150,0,68
179,8158,1983-05-13,FEMENINO,CASADO,87,2019-10-14,2019-10-21,1,0001,50285,0,7
180,8098,1992-01-27,FEMENINO,SOLTERO,81,2019-08-22,2019-09-02,1,0001,54150,0,11
182,7061,1974-03-28,FEMENINO,SOLTERO,61,2018-06-19,2019-08-26,1,0014A,54409,0,433
183,8028,1964-05-03,FEMENINO,SOLTERO,81,2019-06-24,2019-07-01,1,0001,02120,0,7
184,7805,1972-01-04,FEMENINO,SOLTERO,50,2018-11-13,2019-02-04,1,0016,54920,0,83
187,7847,1973-09-25,FEMENINO,SOLTERO,81,2019-01-09,2019-09-30,1,0001,55070,0,264
188,8082,1997-11-11,FEMENINO,SOLTERO,51,2019-08-06,2019-09-25,1,0001,07310,0,50
189,8127,1988-11-19,MASCULINO,SOLTERO,56,2019-09-20,2019-09-30,1,0001,01109,0,10
190,7884,1989-01-03,MASCULINO,SOLTERO,87,2019-02-12,2019-03-21,1,0185,52140,0,37
192,7941,1981-05-31,FEMENINO,CASADO,50,2019-04-03,2019-04-08,1,0001,07210,0,5
194,8122,1994-09-01,FEMENINO,SOLTERO,73,2019-09-13,2019-09-16,1,0001,56539,0,3
195,7428,1994-05-31,FEMENINO,SOLTERO,72,2017-07-06,2019-02-11,1,0001,56530,0,585
196,8095,1980-01-21,FEMENINO,SOLTERO,05,2019-08-20,2019-09-17,1,0001,08020,0,28
197,7999,1997-10-16,FEMENINO,SOLTERO,81,2019-05-28,2019-06-03,1,0001,15430,0,6
198,7835,1988-09-17,FEMENINO,CASADO,86,2018-12-17,2019-01-01,1,0003B,52104,0,15
199,7906,1989-06-09,FEMENINO,SOLTERO,45,2019-03-04,2019-05-17,1,0185,09160,0,74
204,7811,1994-02-23,MASCULINO,SOLTERO,86,2018-11-21,2019-01-01,1,0001,50180,0,41
205,7871,1991-11-18,MASCULINO,SOLTERO,08,2019-01-31,2019-03-11,1,0001,57410,0,39
210,6052,1990-05-14,MASCULINO,SOLTERO,56,2019-06-08,2019-06-17,1,0017,01280,0,9
212,8037,1997-03-07,MASCULINO,SOLTERO,83,2019-06-28,2019-07-29,1,0001,54010,0,31
213,7139,1986-05-10,MASCULINO,SOLTERO,73,2019-10-02,2019-10-07,1,0001,56600,0,5
214,7558,1974-05-11,MASCULINO,SOLTERO,05,2017-12-07,2019-02-26,1,0002A,03400,0,446
215,6360,1958-09-18,MASCULINO,SOLTERO,52,2018-10-09,2019-03-04,1,0002A,09760,0,146
218,7981,1997-02-04,MASCULINO,SOLTERO,88,2019-05-09,2019-05-27,1,0001,53426,0,18
220,7955,1982-01-13,FEMENINO,CASADO,85,2019-04-11,2019-04-12,1,0001,52234,0,1
223,7706,1981-10-28,MASCULINO,SOLTERO,85,2018-06-26,2019-01-30,1,0001,50040,0,218
225,5139,1982-12-26,MASCULINO,SOLTERO,76,2015-06-02,2019-03-28,1,486,56644,0,1395
226,7921,1989-02-08,MASCULINO,SOLTERO,50,2019-03-14,2019-05-06,1,0001,15210,0,53
230,8046,1995-10-16,FEMENINO,SOLTERO,81,2019-07-05,2019-07-15,1,0001,07550,0,10
231,7982,1987-03-17,FEMENINO,CASADO,88,2019-05-09,2019-08-26,1,0017,53427,0,109
233,5746,1981-03-07,MASCULINO,SOLTERO,82,2019-09-10,2019-10-07,1,0001,54910,0,27
234,7888,1976-11-12,MASCULINO,SOLTERO,50,2019-02-12,2019-03-08,1,0001,02460,0,24
238,7913,1967-06-24,MASCULINO,CASADO,56,2019-03-12,2019-06-10,1,0001,01280,0,90
239,7819,1991-06-06,MASCULINO,SOLTERO,80,2018-12-03,2019-01-01,1,0001,55519,0,29
241,7756,1995-11-23,FEMENINO,SOLTERO,66,2018-12-17,2019-02-21,1,0003B,50295,0,66
242,7978,1971-11-28,FEMENINO,CASADO,45,2019-05-07,2019-05-08,1,0001,08100,0,1
244,7759,1995-11-13,FEMENINO,SOLTERO,56,2018-09-11,2018-12-31,1,0001,01377,0,111
245,8033,1988-05-11,FEMENINO,SOLTERO,03,2019-06-25,2019-08-26,1,0001,01859,0,62
247,8080,1991-01-09,MASCULINO,CASADO,50,2019-08-06,2019-09-09,1,0001,07170,0,34
248,7992,1989-03-03,FEMENINO,SOLTERO,50,2019-05-22,2019-06-17,1,0001,02040,0,26
249,7969,1991-01-07,MASCULINO,SOLTERO,85,2019-04-25,2019-05-20,1,0001,50040,0,25
252,7949,1992-11-27,FEMENINO,SOLTERO,52,2019-04-08,2019-06-11,1,0001,09780,0,64
253,7791,1992-03-25,FEMENINO,SOLTERO,45,2018-10-24,2019-02-21,1,0001,56516,0,120
254,7993,1986-09-09,FEMENINO,SOLTERO,73,2019-05-24,2019-08-30,1,0001,56605,0,98
256,7958,1990-12-02,FEMENINO,SOLTERO,50,2019-04-12,2019-05-13,1,0001,54170,0,31
259,8055,2000-03-15,FEMENINO,SOLTERO,52,2019-07-15,2019-08-05,1,0001,13400,0,21
260,7838,1966-10-19,FEMENINO,SOLTERO,54,2018-12-21,2019-01-07,1,0003A,54745,0,17
261,7895,1964-07-05,FEMENINO,CASADO,85,2019-02-25,2019-03-08,1,0003B,50190,0,11
262,7798,1977-12-19,FEMENINO,SOLTERO,50,2018-10-29,2018-12-31,1,0019,55120,0,63
265,7750,1999-11-27,MASCULINO,SOLTERO,50,2018-09-03,2019-01-03,1,0001,07170,0,122
266,8136,2000-03-22,FEMENINO,SOLTERO,81,2019-09-25,2019-10-07,1,0001,07183,0,12
270,7985,1982-08-18,FEMENINO,SOLTERO,04,2019-05-09,2019-07-10,1,0001,52926,0,62
271,7962,1976-08-30,FEMENINO,CASADO,85,2019-04-17,2019-05-06,1,0001,50130,0,19
